pr,rc,threshold
Atelectasis,0.45571873609256786,1.0,0.00011654277
Atelectasis,0.4555975962608502,0.99951171875,0.00017981854
Atelectasis,0.45569902048085487,0.99951171875,0.00023076554
Atelectasis,0.45580048986862615,0.99951171875,0.00024415864
Atelectasis,0.455902004454343,0.99951171875,0.0002846856
Atelectasis,0.4560035642682112,0.99951171875,0.00030659605
Atelectasis,0.45588235294117646,0.9990234375,0.00030977925
Atelectasis,0.45598395364386,0.9990234375,0.00031464768
Atelectasis,0.45608559964333484,0.9990234375,0.00034128613
Atelectasis,0.4561872909698997,0.9990234375,0.0004471157
Atelectasis,0.45606601248884926,0.99853515625,0.00048164735
Atelectasis,0.4561677448137408,0.99853515625,0.00049989385
Atelectasis,0.45604640785363676,0.998046875,0.0005161514
Atelectasis,0.4561481812095514,0.998046875,0.00051772693
Atelectasis,0.45625,0.998046875,0.000519168
Atelectasis,0.45635186425541413,0.998046875,0.00052152947
Atelectasis,0.4564537740062528,0.998046875,0.0005221187
Atelectasis,0.45655572928300203,0.998046875,0.0005234288
Atelectasis,0.4564343163538874,0.99755859375,0.0005277067
Atelectasis,0.456536312849162,0.99755859375,0.0005290804
Atelectasis,0.4566383549396513,0.99755859375,0.00055068
Atelectasis,0.4565168790520903,0.9970703125,0.0005693731
Atelectasis,0.45661896243291594,0.9970703125,0.0005712699
Atelectasis,0.45672109147841644,0.9970703125,0.00063543156
Atelectasis,0.45682326621923935,0.9970703125,0.0006556622
Atelectasis,0.45692548668605953,0.9970703125,0.0006601025
Atelectasis,0.45702775290957925,0.9970703125,0.00069686456
Atelectasis,0.4571300649205283,0.9970703125,0.00070065
Atelectasis,0.45700850873264665,0.99658203125,0.00077959674
Atelectasis,0.45711086226203806,0.99658203125,0.000813629
Atelectasis,0.45698924731182794,0.99609375,0.0008210546
Atelectasis,0.4570916423930092,0.99609375,0.0009046273
Atelectasis,0.4571940833706858,0.99609375,0.000935347
Atelectasis,0.45707240529029364,0.99560546875,0.0009387866
Atelectasis,0.4571748878923767,0.99560546875,0.0009425911
Atelectasis,0.45727741646108994,0.99560546875,0.0009479091
Atelectasis,0.45737999102736654,0.99560546875,0.0009521485
Atelectasis,0.45725824545658517,0.9951171875,0.00097219524
Atelectasis,0.4573608617594255,0.9951171875,0.000972682
Atelectasis,0.4574635241301908,0.9951171875,0.0010106151
Atelectasis,0.4575662325999102,0.9951171875,0.0010211805
Atelectasis,0.457444419492477,0.99462890625,0.0010682347
Atelectasis,0.45754716981132076,0.99462890625,0.0010718551
Atelectasis,0.45764996629970794,0.99462890625,0.0010723451
Atelectasis,0.457752808988764,0.99462890625,0.0011155651
Atelectasis,0.45763092829849406,0.994140625,0.0011191153
Atelectasis,0.4577338129496403,0.994140625,0.0011671574
Atelectasis,0.45783674387227347,0.994140625,0.0011806164
Atelectasis,0.45771479982006297,0.99365234375,0.0011838198
Atelectasis,0.4575928008998875,0.9931640625,0.0011951919
Atelectasis,0.4576957695769577,0.9931640625,0.0012198525
Atelectasis,0.4577987846049966,0.9931640625,0.0012402432
Atelectasis,0.4579018460153084,0.9931640625,0.0012474764
Atelectasis,0.4580049538392254,0.9931640625,0.0013093522
Atelectasis,0.4581081081081081,0.9931640625,0.0013103095
Atelectasis,0.4582113088533453,0.9931640625,0.0013122832
Atelectasis,0.4583145561063542,0.9931640625,0.0013204197
Atelectasis,0.4581924723912554,0.99267578125,0.0013222621
Atelectasis,0.4582957619477006,0.99267578125,0.0013442736
Atelectasis,0.45817361894024805,0.9921875,0.0013468354
Atelectasis,0.4580514208389716,0.99169921875,0.0013595675
Atelectasis,0.457929167606587,0.9912109375,0.0014360438
Atelectasis,0.45803249097472926,0.9912109375,0.0014506902
Atelectasis,0.45813586097946285,0.9912109375,0.0014557109
Atelectasis,0.4580135440180587,0.99072265625,0.0014608508
Atelectasis,0.4581169564235719,0.99072265625,0.0015152144
Atelectasis,0.4582204155374887,0.99072265625,0.0015178699
Atelectasis,0.4583239213914615,0.99072265625,0.0015451048
Atelectasis,0.45842747401717127,0.99072265625,0.0015457433
Atelectasis,0.4585310734463277,0.99072265625,0.0015460933
Atelectasis,0.45840867992766726,0.990234375,0.0015472253
Atelectasis,0.4585123219534253,0.990234375,0.0015586948
